127.0.0.1 - - [20/Apr/2023:12:11:13 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:38 +0530] "GET /FraudApps/AdminHome.jsp HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:38 +0530] "GET /FraudApps/assets/js/jquery.quicksand.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:38 +0530] "GET /FraudApps/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:38 +0530] "GET /FraudApps/assets/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:38 +0530] "GET /FraudApps/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:38 +0530] "GET /FraudApps/assets/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:38 +0530] "GET /FraudApps/assets/css/patros.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:42 +0530] "GET /FraudApps/ViewUsers.jsp HTTP/1.1" 200 9343
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:43 +0530] "GET /FraudApps/profilepic.jsp?id=2 HTTP/1.1" 200 10076
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:43 +0530] "GET /FraudApps/profilepic.jsp?id=6 HTTP/1.1" 200 238581
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:43 +0530] "GET /FraudApps/profilepic.jsp?id=8 HTTP/1.1" 200 238581
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:43 +0530] "GET /FraudApps/profilepic.jsp?id=5 HTTP/1.1" 200 238581
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:43 +0530] "GET /FraudApps/profilepic.jsp?id=4 HTTP/1.1" 200 202764
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:43 +0530] "GET /FraudApps/profilepic.jsp?id=7 HTTP/1.1" 200 231458
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:43 +0530] "GET /FraudApps/profilepic.jsp?id=9 HTTP/1.1" 200 238581
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:44 +0530] "GET /FraudApps/AddAppData.jsp HTTP/1.1" 200 3959
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:47 +0530] "GET /FraudApps/AddReviews.jsp HTTP/1.1" 200 4246
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:11:58 +0530] "GET /FraudApps/AddAppData.jsp HTTP/1.1" 200 3959
