127.0.0.1 - - [03/Jun/2023:19:34:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:34:57 +0530] "GET /FraudApps/ViewReviews.jsp HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:34:57 +0530] "GET /FraudApps/vendor/jquery/jquery.min.js HTTP/1.1" 200 86351
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:34:57 +0530] "GET /FraudApps/vendor/morrisjs/morris.css HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:34:57 +0530] "GET /FraudApps/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:34:57 +0530] "GET /FraudApps/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:34:57 +0530] "GET /FraudApps/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:34:57 +0530] "GET /FraudApps/dist/css/sb-admin-2.css HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:34:57 +0530] "GET /FraudApps/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:34:57 +0530] "GET /FraudApps/vendor/raphael/raphael.min.js HTTP/1.1" 200 92516
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:34:57 +0530] "GET /FraudApps/vendor/morrisjs/morris.min.js HTTP/1.1" 200 35652
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:34:57 +0530] "GET /FraudApps/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:34:57 +0530] "GET /FraudApps/data/morris-data.js HTTP/1.1" 200 2536
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:34:57 +0530] "GET /FraudApps/dist/js/sb-admin-2.js HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:34:57 +0530] "GET /FraudApps/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:34:57 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:35:02 +0530] "GET /FraudApps/SearchApp.jsp HTTP/1.1" 200 4833
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:35:07 +0530] "POST /FraudApps/List.jsp HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:35:07 +0530] "GET /FraudApps/profilepic2.jsp?id=9 HTTP/1.1" 200 11930
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:35:07 +0530] "GET /FraudApps/profilepic2.jsp?id=3 HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:35:07 +0530] "GET /FraudApps/profilepic2.jsp?id=6 HTTP/1.1" 200 7537
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:35:07 +0530] "GET /FraudApps/profilepic2.jsp?id=5 HTTP/1.1" 200 10415
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:35:12 +0530] "GET /FraudApps/ViewLocationDetails.jsp?id=9 HTTP/1.1" 200 4266
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:35:12 +0530] "GET /FraudApps/postImage1.jsp?id=9 HTTP/1.1" 200 11930
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:35:15 +0530] "GET /FraudApps/ViewReviews.jsp?id=9 HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:35:56 +0530] "GET /FraudApps/SearchApp.jsp HTTP/1.1" 200 4833
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:36:25 +0530] "POST /FraudApps/List.jsp HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:36:25 +0530] "GET /FraudApps/profilepic2.jsp?id=2 HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:36:25 +0530] "GET /FraudApps/profilepic2.jsp?id=10 HTTP/1.1" 200 30894
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:36:25 +0530] "GET /FraudApps/profilepic2.jsp?id=13 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:36:25 +0530] "GET /FraudApps/profilepic2.jsp?id=4 HTTP/1.1" 200 3506
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:36:34 +0530] "GET /FraudApps/SearchApp.jsp HTTP/1.1" 200 4833
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:36:38 +0530] "POST /FraudApps/List.jsp HTTP/1.1" 200 3963
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:36:43 +0530] "GET /FraudApps/SearchApp.jsp HTTP/1.1" 200 4833
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:36:46 +0530] "POST /FraudApps/List.jsp HTTP/1.1" 200 5039
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:36:46 +0530] "GET /FraudApps/profilepic2.jsp?id=12 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:36:46 +0530] "GET /FraudApps/profilepic2.jsp?id=11 HTTP/1.1" 200 126144
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:36:46 +0530] "GET /FraudApps/profilepic2.jsp?id=1 HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:36:46 +0530] "GET /FraudApps/profilepic2.jsp?id=8 HTTP/1.1" 200 20556
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:37:12 +0530] "GET /FraudApps/SearchApp.jsp HTTP/1.1" 200 4833
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:37:18 +0530] "POST /FraudApps/List.jsp HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:37:18 +0530] "GET /FraudApps/profilepic2.jsp?id=9 HTTP/1.1" 200 11930
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:37:18 +0530] "GET /FraudApps/profilepic2.jsp?id=3 HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:37:18 +0530] "GET /FraudApps/profilepic2.jsp?id=5 HTTP/1.1" 200 10415
0:0:0:0:0:0:0:1 - - [03/Jun/2023:19:37:18 +0530] "GET /FraudApps/profilepic2.jsp?id=6 HTTP/1.1" 200 7537
